total_samples,total_latency_s,data_tx_latency_s,inter_stage_latency_s,stage1_compute_latency_s,stage2_compute_latency_s,effective_compute_flops,effective_compute_pflops,ideal_peak_pflops,compute_utilization,bottleneck_stage,decode_latency_s_per_token,decode_total_latency_s,decode_compute_latency_s_per_token,decode_memory_latency_s_per_token,decode_effective_compute_pflops,decode_bottleneck,prefill_compute_time_s,prefill_memory_time_s,prefill_time_s,prefill_bottleneck,decode_energy_efficiency_tokens_per_j,total_inference_time_s,prefill_peak_memory_bytes,prefill_peak_memory_gb,prefill_weight_memory_bytes,prefill_kv_memory_bytes,prefill_activation_peak_memory_bytes,prefill_workspace_memory_bytes,link_bandwidth_gbps
1,0.0239883618952341,0.0012749694047599076,0.002872678204759908,0.0024203571428571425,0.0024203571428571425,989196348780881.6,0.9891963487808816,20.0,0.04945981743904408,bigstar1_stage,0.004712277561902766,0.004712277561902766,1.5662775e-05,0.002343703678571429,0.013295290690538648,memory,0.00237292,0.0024203571428571425,0.007713392490474193,memory,0.010610580413223908,0.012425670052376958,73838763407.36,73.83876340736,32000000000.0,42467328.0,33884999999.999996,7911296079.36,10.0
1,0.020696928935234102,0.0002683364447599076,0.0005878782047599076,0.0024203571428571425,0.0024203571428571425,1146508260923861.5,1.1465082609238615,20.0,0.057325413046193076,bigstar1_stage,0.004705723961902766,0.004705723961902766,1.5662775e-05,0.002343703678571429,0.013313806867385172,memory,0.00237292,0.0024203571428571425,0.005428592490474193,memory,0.010625357629303531,0.01013431645237696,73838763407.36,73.83876340736,32000000000.0,42467328.0,33884999999.999996,7911296079.36,50.0
1,0.0202854998152341,0.0001425073247599076,0.0003022782047599076,0.0024203571428571425,0.0024203571428571425,1169761663066331.5,1.1697616630663314,20.0,0.05848808315331657,bigstar1_stage,0.004704904761902766,0.004704904761902766,1.5662775e-05,0.002343703678571429,0.013316125016452518,memory,0.00237292,0.0024203571428571425,0.005142992490474192,memory,0.010627207675884796,0.009847897252376957,73838763407.36,73.83876340736,32000000000.0,42467328.0,33884999999.999996,7911296079.36,100.0
1,0.0200797852552341,7.95927647599076e-05,0.0001594782047599076,0.0024203571428571425,0.0024203571428571425,1181745705861800.8,1.1817457058618008,20.0,0.05908728529309004,bigstar1_stage,0.004704495161902765,0.004704495161902765,1.5662775e-05,0.002343703678571429,0.01331728439373298,memory,0.00237292,0.0024203571428571425,0.005000192490474193,memory,0.010628132940788734,0.009704687652376958,73838763407.36,73.83876340736,32000000000.0,42467328.0,33884999999.999996,7911296079.36,200.0
1,0.0199769279752341,4.81354847599076e-05,8.80782047599076e-05,0.0024203571428571425,0.0024203571428571425,1187830282484758.8,1.1878302824847589,20.0,0.059391514124237946,bigstar1_stage,0.004704290361902765,0.004704290361902765,1.5662775e-05,0.002343703678571429,0.013317864158082969,memory,0.00237292,0.0024203571428571425,0.004928792490474192,memory,0.010628595633662433,0.009633082852376958,73838763407.36,73.83876340736,32000000000.0,42467328.0,33884999999.999996,7911296079.36,400.0
